Symbol	Date	EMA10T7	EMA10T6	EMA10T5	EMA10T4	EMA10T3	EMA10T2	EMA10T1	EMA10T0	EMA20T7	EMA20T6	EMA20T5	EMA20T4	EMA20T3	EMA20T2	EMA20T1	EMA20T0
CTAQU	21.07.2021	10,0178423829	10,0145983133	10,0192167948	10,0229955525	10,0260872633	10,0286168448	10,0306865025	10,0205617532	10,0101947909	10,0092238585	10,0121549159	10,0148068251	10,0172061714	10,0193770086	10,0213410994	10,0169276977
SAIL	21.07.2021	50,8573980084	50,7087803552	50,1653659671	49,5334809961	49,1419391910	48,8615863334	48,8485708029	48,9688303517	50,2436333735	50,2242398061	49,9857408932	49,6718606774	49,4535883336	49,2770559661	49,2306697708	49,2572724899
NFG	21.07.2021	52,3493305987	52,2167248411	52,1173199916	51,9705347883	51,7577101426	51,4053991521	51,2789627762	51,1827877260	52,5507658421	52,4621213744	52,3866810691	52,2841401457	52,1427933925	51,9215749451	51,8061867679	51,7055975519
TWCTU	21.07.2021	10,4950559904	10,4868639575	10,4801613851	10,4783139091	10,4822568347	10,4945738085	10,4955603888	10,5000040377	10,4930559718	10,4889553849	10,4852453301	10,4837934193	10,4853369032	10,4914953115	10,4923052819	10,4949429177
ELC	21.07.2021	14014,2633340590	14048,0336369573	14075,6638847833	14261,9068148227	14414,2873939458	14338,9624132284	14304,6056108232	14276,4954997645	13143,9217774777	13244,5006558131	13335,5005933547	13503,5481558924	13655,5911886645	13688,3920278393	13732,3546918546	13772,1304354875
KTOS	21.07.2021	27,9727013092	27,8376646243	27,6053618683	27,3352962266	27,0525152193	26,7629668312	26,6824273518	26,7256223927	27,5427045661	27,5129231352	27,4221685000	27,2981525324	27,1535666423	26,9922744939	26,9282483226	26,9274627753
SAGE	21.07.2021	55,6246018114	55,0492194974	53,9620886242	52,9235270562	51,9810678966	50,9408734284	50,2043508759	49,7144685933	58,2295149854	57,6800372805	56,8600337010	56,0400304913	55,2495515568	54,3934036296	53,6787937020	53,0912893800
NUE	21.07.2021	96,1764594371	96,0171037307	95,8467215671	95,7691354947	95,0911110258	94,1727273694	93,6904126919	93,5467015708	97,1022756331	96,9306306254	96,7543802640	96,6272962549	96,1904109845	95,6046576446	95,2156423111	94,9951050935
PRO	21.07.2021	46,7622157183	46,5018131934	46,1469379286	45,7293125732	45,3330737848	44,8216059072	44,7322233479	44,6463642522	46,9025021884	46,7527402496	46,5429553913	46,2864833039	46,0258657737	45,6919738389	45,5622622191	45,4382370860
CMT	21.07.2021	16,0554613986	16,0090139063	15,9382840843	15,7858688656	15,5248018685	15,2712015496	15,1164376453	15,0316307314	15,4705767132	15,5019503777	15,5131931880	15,4738414921	15,3668090054	15,2490176825	15,1700636247	15,1205337194
GLQ	21.07.2021	14,8038596780	14,8522487719	14,9082035129	14,9558028881	14,9674751735	14,9024796250	14,8820287771	14,9016598670	14,8046622949	14,8299325234	14,8613675067	14,8907610847	14,9030695965	14,8751581736	14,8670478677	14,8787575728
VACQU	21.07.2021	12,1407535695	12,1533438365	12,0710995414	11,9545360439	11,8864385675	11,8998133804	11,8471199761	11,8203708548	11,8222244895	11,8591554941	11,8440930865	11,8046556787	11,7832598925	11,8000922873	11,7819882273	11,7741798065
HRB	21.07.2021	23,8499873599	23,8081716289	23,8357766208	23,8510899763	23,8072555462	23,7223000201	23,7891545896	23,8256718953	23,9864218442	23,9515246057	23,9523316989	23,9492524967	23,9169427933	23,8619958751	23,8837105682	23,8938333494
JBLU	21.07.2021	16,6786233308	16,5279646127	16,3628801169	16,2205382636	15,9695313343	15,6841619314	15,6234052860	15,6682406677	17,1771740911	17,0507765949	16,9145121464	16,7874157443	16,6019475927	16,3922382618	16,2929775113	16,2526939279
AURCU	21.07.2021	10,3740722005	10,3878772203	10,3991722365	10,3911408375	10,3654788671	10,3444827094	10,3600313632	10,3363892139	10,3530160038	10,3622525567	10,3706094379	10,3691227812	10,3577777544	10,3475132064	10,3553691205	10,3434291607
SRTS	21.07.2021	3,9690857366	3,9859792022	3,9812557179	3,9973910731	3,9851381629	3,9823857748	3,9564974365	3,9353160688	3,9960153426	4,0022995764	3,9982710489	4,0051023940	3,9979497914	3,9952879092	3,9804985763	3,9671177514
