Symbol	Date	EMA10T7	EMA10T6	EMA10T5	EMA10T4	EMA10T3	EMA10T2	EMA10T1	EMA10T0	EMA20T7	EMA20T6	EMA20T5	EMA20T4	EMA20T3	EMA20T2	EMA20T1	EMA20T0
LNTH	21.07.2021	27,4699987501	27,3081807817	27,0012389740	26,7610137615	26,5408293025	26,3497693877	26,2970839474	26,2539776780	26,6926862208	26,6819541925	26,5808157779	26,4950238282	26,4050214861	26,3178765609	26,2933168376	26,2710961355
NTIC	21.07.2021	18,2195597748	18,5741852842	18,9279698612	19,1228844319	19,2114510098	19,0893691745	19,0585747930	19,0733792651	17,7675255422	17,9963326407	18,2366819566	18,4046170083	18,5194154466	18,5213759675	18,5593401683	18,6146410465
BELFB	21.07.2021	14,0156053259	13,9582225047	13,8294547766	13,7277358095	13,6099656485	13,4081537124	13,2703075135	13,2793424556	14,2786873738	14,2235742724	14,1308529131	14,0488669650	13,9565939134	13,8178706836	13,7066448679	13,6698215181
AIF	21.07.2021	15,4863603264	15,5161129250	15,5331832399	15,5307863704	15,4997342406	15,4488735181	15,4108964732	15,3925517362	15,4206342360	15,4424785581	15,4584329485	15,4642965208	15,4543634861	15,4320431795	15,4137533311	15,4038721014
ACEVU	21.07.2021	10,7882851835	10,6813242063	10,6065380702	10,5435311900	10,4919801061	10,4479837232	10,4119866826	10,3552619006	10,9036356207	10,8366226863	10,7826586645	10,7328816706	10,6878453429	10,6461457864	10,6084176163	10,5599969272
ETR	21.07.2021	102,5196911711	102,3633843513	102,3936778837	102,6166460406	102,9990742551	102,7465154106	102,6744214222	102,3972541683	103,1583070588	103,0156114972	102,9693626670	103,0313283888	103,1921543728	103,0414730621	102,9756183394	102,8017500715
TJX	21.07.2021	67,5504623070	67,5667417766	67,7618795244	67,8179013736	67,7437381533	67,2503309944	67,1139071772	67,1804701190	67,1421181582	67,1895354184	67,3276748442	67,3983724490	67,3994801836	67,1738152880	67,1096424034	67,1449148752
EPSN	21.07.2021	4,9944834070	5,0136682247	5,0402739743	5,0456787375	5,0573735367	5,0742147292	5,0734484460	5,0837305676	4,8152667408	4,8423841849	4,8726332956	4,8914301410	4,9122463307	4,9348895464	4,9477572250	4,9651136907
TFSA	21.07.2021	25,7549227669	25,7922093701	25,7808984923	25,7898260253	25,8189487048	25,8518671221	25,8606184851	25,8677786912	25,7500931020	25,7700841480	25,7662665665	25,7723364100	25,7892568246	25,8093276032	25,8179630332	25,8257760413
TWNK	21.07.2021	16,3152775173	16,2852269902	16,2515494250	16,2494494879	16,2277312466	16,1863255654	16,2051756291	16,2224162851	16,2659077071	16,2548688416	16,2401194644	16,2401080651	16,2296215027	16,2077527882	16,2155859432	16,2236253045
RGT	21.07.2021	15,0878849968	15,1009967878	15,0953609527	15,0998407587	15,0816878935	15,0013810662	14,9647663616	14,9911724152	15,0481500062	15,0588023720	15,0598687837	15,0655955553	15,0593483596	15,0194104533	14,9985142378	15,0091318967
WATT	21.07.2021	2,6540427875	2,5951259032	2,5651030239	2,5550842905	2,5232508040	2,4917506404	2,4732505431	2,4781140807	2,7349549129	2,6963877710	2,6710175135	2,6556825113	2,6294270449	2,6028149363	2,5825468572	2,5746852517
EOG	21.07.2021	83,1185249388	83,0478846512	82,4319062895	81,2970146808	79,9539217683	78,2059353264	76,9866743580	76,4781885550	83,4510367756	83,3823669262	83,0278561392	82,3766319775	81,5702864236	80,5007349869	79,6435221310	79,1241393034
INMB	21.07.2021	20,2197859264	21,3943703589	21,6790301272	21,7555701734	21,6400121127	21,5236462740	21,4357107543	21,6710359885	18,8101618516	19,5596702757	19,8835111146	20,0946053305	20,1922620456	20,2691894699	20,3426000837	20,5699714607
BNFT	21.07.2021	13,6519976516	13,5461798413	13,4468744156	13,3201699764	13,2237754283	13,1267252741	13,1255024762	13,1608656069	13,8498697218	13,7755963859	13,7017300634	13,6110891050	13,5328901390	13,4526148477	13,4209372322	13,4113241334
CP	21.07.2021	75,6278191101	75,1354880299	74,5599449737	74,1963181710	73,8606236806	73,3205101732	73,0567815502	72,9191854595	76,6597351421	76,3035697161	75,8908489070	75,5736249691	75,2666129219	74,8497925855	74,5660030771	74,3501935508
MOV	21.07.2021	30,5616459779	30,5486193948	30,4579611843	30,2783317532	30,0804533498	29,7203709919	29,4566672584	29,4663641621	30,5883208439	30,5789569322	30,5285800088	30,4277627997	30,3098806792	30,0994158889	29,9251858479	29,8856443603
RMTI	21.07.2021	0,8507295517	0,8433241791	0,8336288777	0,8220599874	0,8071399914	0,7949327220	0,7903994963	0,7904177670	0,8733392113	0,8673069057	0,8599443453	0,8513782153	0,8407707672	0,8311735521	0,8253474977	0,8220286870
PCN	21.07.2021	18,7534666670	18,7637453577	18,7739734190	18,7896147265	18,7824120490	18,7619735085	18,7634329538	18,7773542627	18,6527194861	18,6676985318	18,6822034045	18,6991364717	18,7039806173	18,7007443753	18,7073401926	18,7199744745
MCN	21.07.2021	8,1718470971	8,1896931627	8,2061125391	8,2104556306	8,2012818518	8,1592305679	8,1411887228	8,1318817100	8,1462757680	8,1580590718	8,1696724681	8,1754179037	8,1739495174	8,1545257339	8,1455233230	8,1402354020
FOX	21.07.2021	34,9233598280	34,7500218994	34,6827453846	34,5367918725	34,3246477015	34,0110751147	33,8036067178	33,8174965997	35,2657653960	35,1423592841	35,0697537397	34,9564439615	34,8053539587	34,5953201030	34,4310038010	34,3785273502
ALTM	21.07.2021	66,2302757201	66,2047703779	65,8657205524	65,5555902087	65,0400285745	64,2982050309	64,1967135123	64,6100385502	66,7923396490	66,7254498098	66,4982637649	66,2755723265	65,9369465069	65,4629515143	65,2988610537	65,4103982125
JBHT	21.07.2021	164,2506967522	164,7342070995	165,6243521510	166,0126507611	165,8194409770	164,7031776495	164,6371446837	164,4540283563	164,2000358732	164,4581280436	164,9506877425	165,2182407677	165,1926937373	164,6676745886	164,6364671361	164,5406135882
EXPE	21.07.2021	165,7960283464	165,1094785147	164,3604834199	163,4385761229	162,3788351206	160,4263195331	159,6433514575	160,1481963141	166,7508567749	166,3002993937	165,7945571175	165,1750748478	164,4545915871	163,2341542350	162,5566152714	162,5436041188
HSC	21.07.2021	20,1747832050	20,0339134620	19,9332018402	19,8708015334	19,7142922053	19,4680573699	19,3847742533	19,3620880671	20,6966216986	20,5731338814	20,4690258491	20,3853091161	20,2543273173	20,0739152500	19,9725900099	19,9047243165
HTBX	21.07.2021	6,7892728644	6,7239504942	6,6450503974	6,5732230524	6,4980915606	6,4566203643	6,4463257699	6,4797211053	6,8587228056	6,8178920459	6,7676166093	6,7183197894	6,6651464616	6,6275134634	6,6058455236	6,6081459608
YALA	21.07.2021	17,2865440210	17,0780813607	16,8984302320	16,7859884965	16,7958087976	16,5111162057	16,2854587970	16,1753754348	17,8250520549	17,6645708487	17,5146117348	17,3970297302	17,3439792942	17,1426478893	16,9643005149	16,8419862092
PKI	21.07.2021	154,1458704976	153,9648020247	153,6039281525	153,5250317918	153,6295725758	153,8623782278	154,1383103469	154,5913457171	152,2161093650	152,3050507489	152,2740931278	152,3594174175	152,5251877685	152,7523130917	153,0025694528	153,3480394937
PODD	21.07.2021	280,4579820260	278,3419866257	275,1289005897	272,4436432737	271,6957056916	270,4783046568	270,9186117913	271,0206843722	278,9777921897	278,0103841072	276,3589202330	274,8352121491	274,2156668560	273,3379842983	273,2962709267	273,1232937895
JBK	20.07.2021	31,0171350711	31,0976558008	31,1944455026	31,2736370768	31,1293393432	31,0112775612	30,9146815578	30,8356484641	30,8025231149	30,8651398739	30,9379836155	31,0038898579	30,9539955421	30,9088530660	30,8680098732	30,8310565084
MCO	21.07.2021	369,9648303413	370,8803157338	371,7384412556	372,2859973909	373,3176326753	373,0471515657	373,8222144735	374,7636300237	362,7446306399	363,9118086742	365,0249703342	365,9511636357	367,0948615232	367,5458258136	368,4757469322	369,4780567482
GNE	21.07.2021	6,0164177149	5,9643417702	5,9126432353	5,8939808185	5,8478024636	5,8118383966	5,7805950275	5,8095777602	6,0573477593	6,0261717840	5,9932030264	5,9757551136	5,9437784234	5,9157995350	5,8895328999	5,8943392959
ATER	21.07.2021	14,0534778636	13,7964819508	13,4862125330	13,1432648691	12,6699439768	12,2426813801	11,9749212124	11,7831173695	14,8635916491	14,6518210485	14,4078381061	14,1404249894	13,7975273678	13,4663342561	13,2095405610	12,9914890863
ANIP	21.07.2021	33,8253803231	33,7807660518	33,6588086988	33,5353888522	33,3925908790	33,2648468332	33,2512380683	33,3201040683	33,9252683646	33,8923858376	33,8178729588	33,7380754906	33,6439730629	33,5531183547	33,5185355234	33,5291512896
AFRM	21.07.2021	65,9971866527	64,5813343675	63,1592732683	62,1212237218	61,2810012270	60,2953647512	59,7707529505	59,9269798810	65,4654717690	64,7744743704	64,0111909372	63,3863156825	62,8257141889	62,1623128957	61,7097116531	61,6068820735
SWBI	21.07.2021	29,2716384595	28,8767951726	28,3919231566	27,9006644979	27,3150891902	26,8232549029	26,4372086957	26,0777160391	27,9947643828	27,9095487636	27,7476868894	27,5517167604	27,2782199551	27,0241038270	26,8027606781	26,5796405263
GAINL	21.07.2021	25,8029592523	25,8660575007	25,8267742494	25,8255425122	25,8227165038	25,8094953213	25,8004962136	25,7858604135	25,7213129967	25,7621402940	25,7514602297	25,7579877978	25,7629412900	25,7617087862	25,7615460664	25,7575892328
VVR	21.07.2021	4,4051766598	4,3860536655	4,3704075791	4,3539698756	4,3405208455	4,3167897896	4,3010098313	4,2935535400	4,3897338943	4,3811878273	4,3734556714	4,3645551513	4,3565022997	4,3425497033	4,3318306858	4,3249896899
FWONK	21.07.2021	48,6223389268	48,5382772760	48,4422265570	48,3854582863	48,1790113251	47,8064640057	47,8271065808	47,7876327680	47,8124534291	47,8455530880	47,8612145388	47,8868132559	47,8261643744	47,6646250119	47,6889462649	47,6814276312
XRX	21.07.2021	23,9279959435	23,8283601648	23,7868402042	23,7019601116	23,4943309033	23,2135436050	23,1038085151	23,2122071056	23,9389968964	23,8857590168	23,8585439087	23,8072539836	23,6884678390	23,5228995461	23,4359567903	23,4611038353
NTCO	21.07.2021	23,0112265716	23,0800943567	23,1437136200	23,1539476460	23,1914118213	23,0747913515	23,0121019316	23,0444471321	22,6442112493	22,7152386912	22,7833112259	22,8229959437	22,8741392453	22,8432687683	22,8324812230	22,8665306812
MODN	21.07.2021	34,0495000770	34,0823181616	33,9382604805	33,7767584362	33,6464389702	33,4325411976	33,3502608966	33,2774863269	34,4151985734	34,3975605704	34,2920786985	34,1737854165	34,0677107457	33,9155479338	33,8264480870	33,7429769132
JG	21.07.2021	2,9378679861	2,8891647298	2,8293165867	2,8148953891	2,7940053270	2,7878225386	2,7700366329	2,7682117888	3,0354086804	3,0006078610	2,9586452021	2,9387742305	2,9160338321	2,9011734663	2,8810617130	2,8695320251
WHG	21.07.2021	20,1311729294	20,0273232087	20,5096281354	20,9660594667	21,2849576206	21,5804198437	21,7821617874	22,0144959108	20,1740150380	20,1155373645	20,3597719303	20,6131270281	20,8137815315	21,0134213711	21,1730955771	21,3528007094
RCII	21.07.2021	53,1875130686	52,9752380484	52,7433767238	52,6027629960	52,4368058379	52,1992049707	52,4302588343	52,8683936195	54,5167554479	54,2789692583	54,0333532112	53,8368434978	53,6323820815	53,3940600802	53,4012925698	53,5383123396
QUAD	21.07.2021	3,9349651259	3,9140623636	3,8678692222	3,8700748389	3,8482430500	3,8176534167	3,8217164163	3,8414043527	3,8646476699	3,8603955045	3,8413102265	3,8449949777	3,8359478370	3,8210956684	3,8228960728	3,8330964532
PSACU	21.07.2021	18,7452726208	18,4861320888	18,1431990511	17,8462538107	17,6196622781	17,4342692060	17,3534929451	17,3037669412	18,1497715335	18,0707456441	17,9306746667	17,7953723393	17,6815273909	17,5785248186	17,5224748141	17,4803343483
GECCN	21.07.2021	25,1510705838	25,1690577504	25,1892291933	25,1940965406	25,1933518121	25,2091061530	25,2056324041	25,2036991842	25,1450777865	25,1550703783	25,1669685029	25,1716381315	25,1733869317	25,1835406227	25,1841558523	25,1851885992
EL	21.07.2021	316,0982965480	316,9222435180	318,6745624344	320,1810040746	320,9644561036	320,0818250578	320,6942227213	321,1279979669	312,2696527190	313,0658767346	314,3510310988	315,5518844661	316,4031326345	316,3752138456	317,0490041658	317,6233834426
NMMCU	20.07.2021	10,2677598354	10,2827126620	10,2949467928	10,3049565362	10,2949644387	10,2867890862	10,2801001614	10,2746274048	10,2552845440	10,2643050999	10,2724665553	10,2798507292	10,2770078026	10,2744356309	10,2721084280	10,2700028634
SABRP	20.07.2021	157,6741965915	156,0341621126	155,1279513743	154,2234147386	153,0918847861	151,4897236940	149,6970475465	148,6048575274	163,1885940258	161,8043476384	160,7801243445	159,7680172524	158,6472537046	157,2789437117	155,7885685851	154,6363241905
UGI	21.07.2021	46,4909386123	46,3525860541	46,2775701582	46,2652845084	46,2334146256	46,0127938678	46,0468314851	45,9674076897	46,4546377081	46,3856245495	46,3431839854	46,3304997091	46,3075949894	46,1849669388	46,1863987316	46,1315036724
FELE	21.07.2021	80,5248779974	80,5130818314	80,4688845244	80,4799962071	80,4127242805	80,1522295671	80,4281874947	80,7230630505	80,5262433574	80,5199343790	80,4961307851	80,4993563084	80,4622748133	80,3211061032	80,4495720142	80,6019940178
KMT	21.07.2021	35,7615950504	35,6976686498	35,6326380140	35,5994312411	35,2486252279	34,8725116056	34,7720548946	34,7916814716	35,9779082452	35,9238217311	35,8682196760	35,8283893033	35,6228282429	35,3901779631	35,2882562233	35,2493747799
DGX	21.07.2021	133,4798812381	133,7635379741	133,9174402716	133,9451797357	134,0496932879	134,4497490537	134,7807045480	134,9623944083	132,1680264029	132,4415470585	132,6480664444	132,7834893853	132,9488717555	133,2632649216	133,5496210503	133,7620379769
GRPN	21.07.2021	42,0798477246	41,8471479996	41,5985755528	41,2679252304	40,6446661253	39,8692724785	39,7094050604	39,6367862082	43,2865156762	43,0497045867	42,8049707730	42,5168782021	42,0714612450	41,5294174187	41,2875683005	41,0992285932
PGR	21.07.2021	98,4648817468	98,3421761412	98,1799617424	97,5926954162	97,3358417597	96,8329613842	96,3942407996	95,9607428608	97,7555129618	97,7587975288	97,7293879497	97,4646840448	97,3423332125	97,0783014489	96,8251297079	96,5570223201
OXSQ	21.07.2021	4,9482827029	4,9467767673	4,9400900546	4,9255282508	4,9099776875	4,8772544750	4,8632082415	4,8644430859	4,9572540951	4,9556108534	4,9512669481	4,9425748705	4,9328058497	4,9134910087	4,9026823594	4,8995697428
ALLT	21.07.2021	19,4918554523	19,3715180835	19,2221510205	19,0726689474	18,8830929000	18,6407122340	18,4678555613	18,3827909138	19,4052076686	19,3504259786	19,2741948604	19,1909381707	19,0803726960	18,9346228428	18,8160873848	18,7383647767
PINE	21.07.2021	19,1950869881	19,2650711582	19,3259673806	19,4485187659	19,5051517592	19,4987604054	19,5662586661	19,7378480412	19,0333958688	19,0854533978	19,1344578724	19,2168904560	19,2686151963	19,2877946360	19,3432428458	19,4543625966
FBRX	21.07.2021	34,7982344167	34,5349187908	33,9740246039	33,3987473061	32,9717022026	32,9623014692	32,9655193007	33,6390609131	35,5921548338	35,3786161329	35,0044622881	34,6049896384	34,2664191240	34,1381885568	34,0278848411	34,2795146819
IGNYU	21.07.2021	10,0438990512	10,0450083493	10,0477341803	10,0508733439	10,0688963029	10,0836423603	10,0957073164	10,1419424191	10,0321044678	10,0338088224	10,0363032602	10,0390362431	10,0496041836	10,0591656536	10,0678165074	10,0946911621
UVSP	21.07.2021	26,0988513381	26,1172421426	26,1904709272	26,3285672610	26,3633732968	26,2973054246	26,3996136402	26,5251384606	26,6124187984	26,5731408903	26,5680798967	26,6044533126	26,5964101835	26,5396092137	26,5701226800	26,6196348203
BNL	21.07.2021	24,1815422585	24,1721707861	24,2172306571	24,2831887056	24,3407908285	24,3497378396	24,5134218687	24,6346179481	23,9762090904	23,9908557637	24,0317266506	24,0839431528	24,1330914603	24,1575588822	24,2616008934	24,3490675040
AINC	21.07.2021	21,5895674491	21,5971007345	21,4541734780	21,0252327208	20,6206448147	19,8823456604	19,3782829240	19,1149588115	21,2221875263	21,2611220970	21,2182534043	21,0160387290	20,8049873488	20,4007027885	20,0873025811	19,8818452215
HOPE	21.07.2021	13,8836864346	13,7939253271	13,7386661351	13,7189086768	13,6227433865	13,4404263863	13,3421669740	13,3490457268	14,2014667525	14,1241842374	14,0637857168	14,0224728023	13,9431896383	13,8171715666	13,7298218572	13,6965055008
HCAT	21.07.2021	57,1825988927	56,9166720433	56,5390953359	56,2101688279	56,0210468899	56,0172201827	56,0740895733	56,0933460700	56,6043428721	56,5201198577	56,3601084572	56,2048599891	56,1063017205	56,0961777472	56,1184467075	56,1243089549
AUTL	21.07.2021	6,8026563830	6,7167188449	6,5845881042	6,4564811970	6,3789391993	6,3209502436	6,2916865352	6,2804708050	6,8232919651	6,7763117707	6,7014249136	6,6231939803	6,5666993355	6,5184422505	6,4843048788	6,4600853683
ETO	21.07.2021	29,4623175495	29,5273506668	29,6096504624	29,6406232304	29,6168735938	29,4883510944	29,4650146428	29,5131937154	29,3530329565	29,3975059792	29,4529815567	29,4841262357	29,4865904255	29,4316770371	29,4248507108	29,4539125042
ZI	21.07.2021	52,1960956004	52,3295328194	52,0259813700	51,6121665754	51,2735908345	51,1074835210	51,3606683353	51,5387286658	51,0419511116	51,2217653205	51,1682638469	51,0331910995	50,9109824234	50,8585079650	51,0148405398	51,1410462172
CBRE	21.07.2021	85,8517842884	85,3678239526	85,0264010274	84,7488735678	84,4236236618	83,7175104352	83,7434177398	84,1464325297	86,3955045274	86,0902186145	85,8425785430	85,6194758246	85,3661923256	84,9065550484	84,8068831972	84,9167037579
VEC	21.07.2021	46,9062089610	46,5632619604	46,2681231725	46,0448282166	45,8021320108	45,3181078979	45,1293607854	45,1149314130	48,1977755344	47,8951302890	47,6136891783	47,3685760104	47,1153782079	46,7367707014	46,5027924231	46,3644311673
BVN	21.07.2021	8,7724537355	8,6883713144	8,6541219845	8,6660998541	8,6595362651	8,5705296853	8,5377061686	8,5581231595	9,2193895795	9,1327810881	9,0725162225	9,0389432744	8,9999963068	8,9209490467	8,8703825036	8,8493936574
SSB	21.07.2021	80,1603103000	79,6511630837	79,1400418572	79,0909438371	78,6016815987	77,6704673729	77,1140188706	76,9987433227	81,9875322383	81,5468149404	81,0985465020	80,8863042396	80,4590373145	79,7943674138	79,3006181944	79,0319882099
TTEK	21.07.2021	123,7176765473	123,8835530393	123,9519983297	123,9334529014	123,9091892924	123,4675191223	123,9243344377	124,4980921456	122,9060733537	123,0702565822	123,1835656826	123,2470354723	123,2996990513	123,1263946994	123,3981669525	123,7488178933
DLB	21.07.2021	99,5488024285	99,5435650130	99,6283717627	99,6632132049	99,2808103601	98,8824805379	98,7511211059	98,6654625011	99,2118060405	99,2411575264	99,3143808226	99,3625350009	99,1908647683	98,9907820606	98,9116603084	98,8515020675
SNOA	21.07.2021	7,2787979189	7,5717438143	7,5914267259	7,3693491186	7,1476492962	6,9226221237	6,7657817271	6,7065486962	7,4208419580	7,5607618042	7,5721178065	7,4576303855	7,3330941674	7,1975613750	7,0892221910	7,0273915116
RJN	21.07.2021	2,4128593875	2,4232485949	2,4208397751	2,4134143823	2,4091572409	2,3784013807	2,3605102153	2,3613629112	2,3772271099	2,3860626259	2,3883423840	2,3875478822	2,3877814272	2,3737070065	2,3647825269	2,3648222903
PMBC	21.07.2021	8,3881647977	8,3448620379	8,2912507929	8,2564779908	8,2043910453	8,1254108518	8,0935179349	8,1056055554	8,4800193091	8,4485888624	8,4106280365	8,3810444503	8,3418973398	8,2874309247	8,2552946280	8,2462189346
KMDA	21.07.2021	5,7725922523	5,7666663467	5,7727270456	5,7667766320	5,7273627336	5,6787513344	5,6298874277	5,6189988357	5,8166540015	5,8093535986	5,8084627979	5,8019425096	5,7779480030	5,7476672445	5,7155084448	5,7016505140
FEUL	20.07.2021	110,5865723154	110,9730133464	111,0953752331	111,2818528629	111,0287885951	110,8217360123	109,6708743310	109,0012606276	111,0491863557	111,2075493681	111,2493069257	111,3323255230	111,1949611294	111,0706790589	110,4441378881	110,0197437047
PBHC	21.07.2021	15,9490692683	15,9419657372	15,9506991979	15,9578447567	15,9346002416	15,9101275051	15,8955588539	15,8981844891	15,8254138315	15,8334696425	15,8483772738	15,8618651307	15,8588303491	15,8532274769	15,8510153289	15,8566329021
SECO	21.07.2021	2,3623024413	2,3455201758	2,3336074113	2,3165878837	2,2953900954	2,2744100902	2,2572446314	2,2468365252	2,4112232608	2,3977734247	2,3865569053	2,3725991057	2,3561611002	2,3393838589	2,3242044501	2,3123754594
AMRK	21.07.2021	46,5942832644	46,3880497771	46,0320407822	45,7734880237	45,4837629840	45,1958063552	45,3365690580	45,6990113804	47,4045287464	47,2193354453	46,9536844796	46,7304764920	46,4875739980	46,2411385245	46,2153159241	46,3214764867
SHO	21.07.2021	12,2107376935	12,1051490428	12,0642128740	12,0161742043	11,9059606849	11,7630587213	11,7115934161	11,7294855985	12,4370242719	12,3601648284	12,3144348556	12,2654410780	12,1839704846	12,0826399514	12,0252456267	12,0047460832
CSGS	21.07.2021	46,2702465855	46,2138379490	46,1676854281	46,0990155168	46,1119214535	45,9933901137	45,9691374767	45,9783852915	46,0735928889	46,0627744313	46,0529863030	46,0279400756	46,0414694179	45,9860912909	45,9740826546	45,9784557787
COF	21.07.2021	157,9654413075	158,8517240403	158,8495917308	159,1223943440	158,8310506946	157,8817688611	157,8996282914	158,8651516409	157,5941054599	158,0937141150	158,1647886124	158,3729045639	158,2916759647	157,8458021215	157,8585824649	158,3682419172
MRO	21.07.2021	13,3482947400	13,3067865847	13,1637345616	12,9957827815	12,7692768212	12,4694082875	12,2640613539	12,1924138142	13,3255957168	13,3060151614	13,2311566182	13,1367607280	13,0046882777	12,8251941451	12,6837470982	12,6062473637
VAQC	21.07.2021	9,8949722125	9,8958862863	9,8875433945	9,8807173922	9,8824052015	9,8837861363	9,8849159922	9,8840221962	9,9038313610	9,9034664332	9,8983744282	9,8937673762	9,8934086111	9,8930840142	9,8927903313	9,8915722154
INCY	21.07.2021	82,8324069406	82,4301516326	81,9646700170	81,6056387164	81,0100683736	80,3827827709	80,1695493734	79,9823584672	83,4081616941	83,1426227467	82,8309446515	82,5603782907	82,1574852946	81,7196293197	81,4806169164	81,2577009614
SQZ	21.07.2021	14,5086360880	14,4434294572	14,2464422207	14,0307255296	13,9142300412	13,8316427679	13,8604349503	13,9221740156	14,2011543701	14,1962824890	14,1166365049	14,0160044968	13,9563850536	13,9091102902	13,9168140503	13,9437841226
SBGI	21.07.2021	31,3166903964	30,8972921841	30,4796027655	30,0251294522	29,4987421264	28,9844253901	28,7654390803	28,7971775265	31,9811414652	31,6981756332	31,4031113235	31,0771006776	30,7011862475	30,3172637550	30,0756196532	29,9674654514
CIR	21.07.2021	32,2074041084	32,1151489547	31,8414856193	31,5521245976	31,1244657186	30,5818354770	30,3833198941	30,4154434526	33,0415243684	32,9137602155	32,6943545388	32,4615588684	32,1509342870	31,7689404872	31,5518985143	31,4574319382
DGICA	21.07.2021	14,8370762750	14,9285169800	14,9742412210	15,0607427825	15,1806077797	15,2077699877	15,2536299968	15,2966063194	14,8949155308	14,9373045424	14,9604184246	15,0070452231	15,0749457035	15,0992365816	15,1335950060	15,1675383170
VCIF	21.07.2021	10,7576538859	10,7198986686	10,6562807080	10,6096841463	10,5715596867	10,5185487860	10,4933581185	10,4818385161	10,7580748720	10,7382582357	10,7031860119	10,6743111173	10,6481862127	10,6131208336	10,5909188604	10,5755932837
CCXI	21.07.2021	14,9472006370	15,1913461422	15,2874650740	15,3242895644	15,4198733493	15,4580782157	15,5784277836	15,6241681727	14,2858478072	14,4767195318	14,5951272209	14,6803531780	14,7917481498	14,8715816702	14,9904787339	15,0704331330
WHLM	21.07.2021	5,0167293224	5,0009603235	5,2116947824	5,3786593882	5,3916303739	5,3240612115	5,1978682848	5,0946195265	5,0476225622	5,0364203971	5,1434279638	5,2373872163	5,2576360346	5,2350040295	5,1773846090	5,1252527524
JAGX	21.07.2021	1,6060239035	1,5849286501	1,5403961743	1,5166877729	1,4791081674	1,4738157820	1,4894856294	1,5077609756	1,6329906226	1,6193724690	1,5927655704	1,5753593224	1,5500870005	1,5405549098	1,5424068177	1,5469395049
AVB	21.07.2021	216,2658911250	217,1666384152	218,4217963986	219,6051048127	220,7441757771	221,1852343938	222,5588291391	223,5808588731	213,5791633076	214,3068621565	215,2366855058	216,1598576172	217,0846326172	217,6641912412	218,7190306938	219,6200746921
TRIP	21.07.2021	39,2988987771	38,8263718654	38,3106681951	37,9323648037	37,4501164356	36,8719135305	36,6333840474	36,6345868369	40,1535962283	39,8246823744	39,4594746891	39,1519056275	38,7831525943	38,3533285813	38,0872974187	37,9494595111
BGCP	21.07.2021	5,6544651767	5,6409260398	5,6062121797	5,5796281540	5,5433321468	5,4809080854	5,4734702621	5,4746574906	5,7383966715	5,7233112670	5,6972816043	5,6746833599	5,6466182889	5,6040831956	5,5884562301	5,5781270671
TEF	21.07.2021	4,5801524807	4,5564883586	4,5353086675	4,5088888855	4,4890909236	4,4510744302	4,4217881632	4,4196448331	4,6693949853	4,6485002066	4,6286430495	4,6059151273	4,5863041719	4,5571323660	4,5316911846	4,5201015335
VIRC	21.07.2021	3,6535936597	3,6311220800	3,6072817018	3,5859577578	3,5576018139	3,5234923724	3,4883119272	3,4540733863	3,5880903374	3,5825579216	3,5746952624	3,5666290478	3,5536167639	3,5361294422	3,5164980595	3,4958791921
LD	21.07.2021	47,3132252514	47,3708208544	47,3670349671	47,4984831827	47,5369406193	47,4574965929	47,5688607933	47,7863405381	46,5326846342	46,6371909612	46,7050773910	46,8369747969	46,9201199671	46,9372512535	47,0451320574	47,2089289462
GEOS	21.07.2021	8,2470226164	8,2402912385	8,2075110896	8,1752362975	8,1433751525	8,1173069430	8,1032511282	8,1626600695	8,2709836058	8,2651756470	8,2456351491	8,2250984428	8,2036604959	8,1842642582	8,1705248014	8,1952367541
HEI	21.07.2021	140,7820700739	140,0853295056	139,1370868895	138,2630714244	137,5788766199	136,3572628000	136,4086694527	136,6761849854	140,9531583079	140,5719048451	140,0288658234	139,4861168717	139,0112485982	138,2349392661	138,0830402302	138,0637035305
OFC	21.07.2021	28,7794746811	28,8359338577	28,9239458281	29,0250465034	29,1495833363	29,0878408144	29,1882332826	29,3303725610	28,6205405613	28,6652509986	28,7276080173	28,7992643530	28,8860009941	28,8787627533	28,9512614806	29,0482841313
SPGI	21.07.2021	412,5390902046	411,8865305687	411,6489771148	411,6255247328	412,1336135864	411,5911372791	412,4618404798	413,2978690396	406,9608441960	407,1502887685	407,4769266546	407,8619802126	408,4865548045	408,5497394799	409,2954790421	410,0349569960
VIACA	21.07.2021	46,3780841904	46,2257054132	46,0283043180	45,8031582448	45,4753112912	45,0688913616	44,9200020231	44,9218198926	46,4060231987	46,3235448860	46,2108262673	46,0755095672	45,8778419893	45,6266191026	45,4955125214	45,4416542151
ITI	21.07.2021	6,3701739203	6,3374150361	6,2851577915	6,2496745844	6,2170065094	6,1648234765	6,1475828756	6,1662041709	6,5456575516	6,5117854093	6,4678058647	6,4318243683	6,3973649210	6,3528539598	6,3259155038	6,3186854558
CMCM	21.07.2021	2,1734517260	2,1710059733	2,1580957790	2,1493510728	2,1367417730	2,1264250731	2,1288932607	2,1418217674	2,2268054350	2,2204430208	2,2089722478	2,1995463095	2,1881609394	2,1778598903	2,1742541964	2,1767061823
COKE	21.07.2021	395,8903571249	397,2193853216	399,0976766801	401,2199152862	403,6581133947	403,9748189404	405,9757629488	406,5801674659	397,8798596182	398,3865408171	399,2592500529	400,3555109063	401,7149865231	402,0659396063	403,2958511663	403,8676737022
